Unit,Unit Type,SqFt,Current Rent
1101,2BR/2.5BA,1100,1350
1102,2BR/2.5BA,1100,1450
1103,2BR/2.5BA,1100,1450
1104,2BR/2.5BA,1100,1350
1201,2BR/2.5BA,1100,1350
1202,2BR/2.5BA,1100,1350
1203,2BR/2.5BA,1100,1350
1204,2BR/2.5BA,1100,1350
1301,2BR/2.5BA,1100,1350
1302,2BR/2.5BA,1100,1350
1303,2BR/2.5BA,1100,1350
1304,2BR/2.5BA,1100,1350
1401,2BR/2.5BA,1100,1350
1402,2BR/2.5BA,1100,1350
1403,2BR/2.5BA,1100,1350
1404,2BR/2.5BA,1100,1350
1501,2BR/2.5BA,1100,1350
1502,2BR/2.5BA,1100,1350
1503,2BR/2.5BA,1100,1350
1504,2BR/2.5BA,1100,1350
1601,2BR/2.5BA,1100,1350
1602,2BR/2.5BA,1100,1450
1603,2BR/2.5BA,1100,1350
1604,2BR/2.5BA,1100,1350
1701,2BR/2.5BA,1100,1350
1702,2BR/2.5BA,1100,1350
1703,2BR/2.5BA,1100,1350
1704,2BR/2.5BA,1100,1375
1801,2BR/2.5BA,1100,1350
1802,2BR/2.5BA,1100,1475
1803,2BR/2.5BA,1100,1350
1804,2BR/2.5BA,1100,1350
1901,2BR/2.5BA,1100,1350
1902,2BR/2.5BA,1100,1495
1903,2BR/2.5BA,1100,1350
1904,2BR/2.5BA,1100,1350
2001,2BR/2.5BA,1100,1350
2002,2BR/2.5BA,1100,1350
2003,2BR/2.5BA,1100,1375
2004,2BR/2.5BA,1100,1350
2101,2BR/2.5BA,1100,1350
2102,2BR/2.5BA,1100,1350
2103,2BR/2.5BA,1100,1350
2104,2BR/2.5BA,1100,1400
2201,2BR/2.5BA,1100,1350
2202,2BR/2.5BA,1100,1350
2203,2BR/2.5BA,1100,1450
2204,2BR/2.5BA,1100,1350
