Unit,Unit Type,SqFt,Current Rent
1,3BR/2BA,1120,1300
2,3BR/2BA,1120,1300
3,3BR/2BA,1120,1300
4,Lot Rent,0,425
5,3BR/2BA,1120,1300
6,3BR/2BA,1120,1300
7,3BR/2BA,1120,1300
8,3BR/2BA,1120,1300
9,Lot Rent,0,425
10,3BR/2BA,1120,1300
11,3BR/2BA,1120,1300
12,3BR/2BA,1120,1300
13,3BR/2BA,1120,1300
14,3BR/2BA,1120,1300
15,Lot Rent,0,425
16,3BR/2BA,1120,1300
17,3BR/2BA,1120,1300
18,3BR/2BA,1120,1300
19,3BR/2BA,1120,1300
20,3BR/2BA,1120,1300
21,3BR/2BA,1120,1300
22,3BR/2BA,1120,1300
23,3BR/2BA,1120,1300
24,3BR/2BA,1120,1300
25,3BR/2BA,1120,1300
26,3BR/2BA,1120,1300
27,3BR/2BA,1120,1300
28,3BR/2BA,1120,1300
29,3BR/2BA,1120,1300
30,2BR/1BA,840,950
